gbifID,institutionCode,collectionCode,basisOfRecord,eventDate,year,month,day,decimalLatitude,decimalLongitude,kingdom,phylum,class,order,family,genus,species,gbifRegion,publishedByGbifRegion,level0Gid,level0Name,level1Name,level2Name,iucnRedListCategory
1320496390,USNM,MAMM,PRESERVED_SPECIMEN,6/18/68,1968,6,18,6.65,2.8,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Heliosciurus,Heliosciurus rufobrachium,AFRICA,NORTH_AMERICA,NGA,Nigeria,Ogun,Ipokia,LC
1320487424,USNM,MAMM,PRESERVED_SPECIMEN,1/10/67,1967,1,10,9.07,6.07,Animalia,Chordata,Mammalia,Chiroptera,Molossidae,Chaerephon,Chaerephon pumilus,AFRICA,NORTH_AMERICA,NGA,Nigeria,Niger,Lavun,LC
1320486798,USNM,MAMM,PRESERVED_SPECIMEN,6/13/67,1967,6,13,10.35,4.47,Animalia,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros,,AFRICA,NORTH_AMERICA,NGA,Nigeria,Niger,Borgu,NE
1320486530,USNM,MAMM,PRESERVED_SPECIMEN,5/5/67,1967,5,5,8.32,4.52,Animalia,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros caffer,AFRICA,NORTH_AMERICA,NGA,Nigeria,Kwara,Asa,LC
1320485287,USNM,MAMM,PRESERVED_SPECIMEN,3/4/67,1967,3,4,9.27,5.33,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Epomophorus,Epomophorus gambianus,AFRICA,NORTH_AMERICA,NGA,Nigeria,Niger,Mokwa,LC
1320484782,USNM,MAMM,PRESERVED_SPECIMEN,3/11/67,1967,3,11,8.9,8.28,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mastomys,,AFRICA,NORTH_AMERICA,NGA,Nigeria,Nasarawa,Akwanga,NE
1320482540,USNM,MAMM,PRESERVED_SPECIMEN,6/10/66,1966,6,10,10.35,4.47,Animalia,Chordata,Mammalia,Chiroptera,Molossidae,Mops,Mops condylurus,AFRICA,NORTH_AMERICA,NGA,Nigeria,Niger,Borgu,LC
1320482292,USNM,MAMM,PRESERVED_SPECIMEN,6/12/66,1966,6,12,10.35,4.47,Animalia,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,AFRICA,NORTH_AMERICA,NGA,Nigeria,Niger,Borgu,LC
1320482245,USNM,MAMM,PRESERVED_SPECIMEN,6/10/66,1966,6,10,10.35,4.47,Animalia,Chordata,Mammalia,Chiroptera,Molossidae,Mops,Mops condylurus,AFRICA,NORTH_AMERICA,NGA,Nigeria,Niger,Borgu,LC
1320479895,USNM,MAMM,PRESERVED_SPECIMEN,6/2/67,1967,6,2,11.57,4.48,Animalia,Chordata,Mammalia,Rodentia,Muridae,Dasymys,Dasymys rufulus,AFRICA,NORTH_AMERICA,NGA,Nigeria,Kebbi,Koko/Besse,LC
1320479206,USNM,MAMM,PRESERVED_SPECIMEN,4/11/67,1967,4,11,9.45,9.2,Animalia,Chordata,Mammalia,Rodentia,Muridae,Lemniscomys,Lemniscomys zebra,AFRICA,NORTH_AMERICA,NGA,Nigeria,Plateau,Mangu,LC
1320478313,USNM,MAMM,PRESERVED_SPECIMEN,6/12/67,1967,6,12,10.35,4.47,Animalia,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros,,AFRICA,NORTH_AMERICA,NGA,Nigeria,Niger,Borgu,NE
1320473910,USNM,MAMM,PRESERVED_SPECIMEN,4/11/67,1967,4,11,9.45,9.2,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Epomophorus,Epomophorus gambianus,AFRICA,NORTH_AMERICA,NGA,Nigeria,Plateau,Mangu,LC
1320470734,USNM,MAMM,PRESERVED_SPECIMEN,4/12/67,1967,4,12,9.45,9.2,Animalia,Chordata,Mammalia,Rodentia,Muridae,Arvicanthis,Arvicanthis niloticus,AFRICA,NORTH_AMERICA,NGA,Nigeria,Plateau,Mangu,LC
1320465916,USNM,MAMM,PRESERVED_SPECIMEN,5/30/67,1967,5,30,11.57,4.48,Animalia,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,AFRICA,NORTH_AMERICA,NGA,Nigeria,Kebbi,Koko/Besse,LC
1320460843,USNM,MAMM,PRESERVED_SPECIMEN,5/30/67,1967,5,30,11.57,4.48,Animalia,Chordata,Mammalia,Chiroptera,Nycteridae,Nycteris,Nycteris thebaica,AFRICA,NORTH_AMERICA,NGA,Nigeria,Kebbi,Koko/Besse,LC
1320453513,USNM,MAMM,PRESERVED_SPECIMEN,5/30/67,1967,5,30,11.57,4.48,Animalia,Chordata,Mammalia,Chiroptera,Nycteridae,Nycteris,Nycteris macrotis,AFRICA,NORTH_AMERICA,NGA,Nigeria,Kebbi,Koko/Besse,LC
1320451205,USNM,MAMM,PRESERVED_SPECIMEN,4/2/67,1967,4,2,9.5167,8.3833,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,Crocidura nigeriae,AFRICA,NORTH_AMERICA,NGA,Nigeria,Kaduna,Kaura,LC
